class,cap.diameter,stem.height,colour,water.content
poisonous,2.75,4.33,brown,63.64190172404051
edible,7.57,3.5,brown,52.59765766561031
edible,5.34,4.15,grey,45.1089327968657
edible,10.27,8.04,brown,32.60209713131189
poisonous,4.25,6.07,red,42.36670727841556
edible,8.56,7.76,brown,68.77196569927037
edible,1.64,5.06,red,66.90119641833007
poisonous,8.51,4.62,brown,39.49722893536091
edible,4.55,5.43,grey,32.2494565974921
poisonous,2.46,5.35,brown,44.85640582628548
poisonous,8.15,7.37,red,58.495072619989514
poisonous,2.52,4.49,brown,54.07737851142883
edible,5.17,4.83,brown,41.78417849354446
edible,4.44,6.21,grey,30.74584662914276
poisonous,7.26,13.77,red,61.66431739926338
edible,13.98,11.75,brown,44.977281875908375
edible,3.79,5.23,red,35.168769899755716
edible,5.71,7.03,brown,35.092521104961634
poisonous,3.89,4.57,red,45.03390743397176
poisonous,0.72,3.92,red,54.49281860142946
poisonous,6.33,13.64,grey,42.55612752400339
poisonous,14.64,16.53,brown,45.13025866821408
poisonous,5.17,5.12,grey,53.46821365877986
edible,8.86,5.04,grey,43.96567137911916
edible,6.86,7.18,brown,46.48622876033187
poisonous,1.42,4.81,grey,53.68934027850628
poisonous,4.93,6.45,brown,63.64177620969713
poisonous,9.63,7.99,grey,42.35547232441604
poisonous,7.02,9.37,grey,60.14585975557566
poisonous,1.62,5.47,grey,44.42529072985053
edible,18.72,13.78,grey,46.28451026044786
edible,10.26,7.69,brown,42.45290786959231
poisonous,5.28,4.9,grey,35.567890256643295
poisonous,5.08,9.75,brown,45.03999698907137
edible,5.39,5.5,brown,56.00639565847814
poisonous,4.47,10.48,brown,39.95151083916426
poisonous,4.5,5.6,brown,53.67837717756629
poisonous,3.45,5.19,red,41.041644643992186
edible,10.87,5.18,grey,31.677937069907784
poisonous,13.26,7.71,brown,52.91524370200932
edible,6.93,7.9,grey,57.76295008137822
poisonous,2.41,3.77,brown,36.10921086743474
edible,1.48,5.62,brown,38.23037441819906
poisonous,5.83,6.4,brown,31.245264979079366
edible,12.34,5.84,brown,61.82317774742842
poisonous,2.92,5.91,grey,61.59338191151619
poisonous,7.64,8.89,grey,67.34180773608387
poisonous,8.06,6.25,brown,69.97202835977077
poisonous,7.74,12.08,grey,46.04902437888086
poisonous,19.19,6.98,brown,38.58822491019964
edible,7.81,7.34,brown,41.392598086968064
poisonous,6.51,8.68,grey,48.64060342311859
poisonous,9.36,5.69,brown,46.93613403476775
edible,3.32,7.13,grey,55.77592680230737
edible,9.27,7.08,brown,46.62583325058222
poisonous,3.47,8.57,red,56.586591294035316
poisonous,1.51,5.47,grey,57.521501164883375
edible,4.54,5.83,brown,52.753972029313445
poisonous,2.89,7.71,red,58.25861992314458
edible,6.53,6.45,grey,44.62602499872446
poisonous,6.44,12.23,grey,39.75470152683556
poisonous,11.42,3.03,brown,51.73089855350554
poisonous,10.94,7.36,red,62.60698623023927
edible,5.49,6.07,brown,60.87775771506131
edible,55.16,7.98,brown,41.57067410647869
edible,6.94,5.96,brown,65.68508281372488
poisonous,0.88,3.33,grey,31.8782951682806
poisonous,2.99,5.97,grey,42.70345511846244
edible,49.12,7.72,brown,63.45707437954843
edible,7.26,5.75,brown,35.48488657921553
poisonous,13.3,10.92,red,46.00695529021323
edible,5.76,4.8,red,38.9908092468977
edible,13.86,7.22,brown,34.55164219252765
edible,5.12,5.34,grey,57.69430859014392
poisonous,4.1,6.58,grey,42.25418663583696
poisonous,0.71,5,brown,63.50559431128204
edible,15.77,10.33,grey,61.96911195293069
poisonous,5.2,4.87,brown,42.85315562039614
poisonous,4.84,6.46,brown,48.79981042817235
poisonous,1.28,3.79,red,65.7621705159545
edible,8.92,8.27,brown,45.6532530579716
poisonous,11.47,5.61,red,57.69876052625477
edible,8.43,6.21,brown,52.129921801388264
poisonous,10.14,7.87,grey,69.74121575243771
edible,9.72,6.76,grey,55.9262727946043
poisonous,13.26,6.07,brown,51.17437387816608
poisonous,7.87,4.57,brown,59.70093957148492
edible,5.81,6.68,brown,48.46334463916719
poisonous,7.48,11.73,brown,49.078525099903345
poisonous,3.9,4.07,grey,68.51808359846473
poisonous,5.95,6.18,red,41.27946246415377
edible,5.32,6.16,grey,54.16784799657762
edible,7.1,6.59,brown,48.82626997306943
poisonous,0.89,4.05,brown,50.039748288691044
edible,2.86,3.4,brown,66.85244880616665
poisonous,19.26,5.1,brown,42.19080497510731
edible,15.28,28.3,red,57.293883450329304
edible,6.62,5.65,grey,65.04547559656203
edible,7.02,4.15,grey,69.61019413545728
edible,7.14,6.4,grey,30.562763595953584
poisonous,7.24,10.03,brown,36.514476938173175
edible,7.41,6.21,brown,32.43358631618321
poisonous,10.14,10.08,grey,38.76034586690366
edible,4.09,5.39,grey,50.18891790881753
poisonous,4.28,7.78,grey,47.60953896678984
edible,1.19,3.19,brown,58.44270931556821
poisonous,8.35,4.72,brown,47.10525800473988
poisonous,12.16,17.46,grey,53.79519167356193
poisonous,5.12,9.52,grey,35.495777260512114
poisonous,1.18,2.72,brown,58.489505564793944
edible,6.24,6.07,grey,67.3841935582459
poisonous,3.42,5.12,brown,43.33718660287559
poisonous,5.69,5.98,brown,56.17265886627138
poisonous,13,17.3,red,38.190072383731604
poisonous,4.68,5.98,red,39.599147317931056
poisonous,1.09,2.78,red,41.898942086845636
edible,6.55,5.99,brown,46.904649725183845
edible,7.64,5.79,brown,67.96491404995322
edible,3.73,5.75,brown,33.46371150575578
poisonous,2.7,4.98,brown,37.31484729796648
poisonous,4,4.61,brown,57.585085928440094
edible,4.18,5.2,grey,58.576259445399046
edible,4.93,8.57,brown,46.13159578293562
edible,10.38,5.34,brown,61.431564558297396
edible,8.48,4.27,grey,45.43487588874996
poisonous,3.42,4.98,grey,40.51398090086877
poisonous,6.21,7.7,grey,62.8107656724751
poisonous,14.68,8.83,grey,53.73947092331946
poisonous,14.52,8.06,red,52.29827222414315
edible,13.94,13.18,red,63.754633804783225
poisonous,3.93,3.96,brown,57.71907437592745
edible,16.01,25.44,brown,55.514156352728605
poisonous,3.23,5.42,brown,41.83348948135972
poisonous,14.01,5.85,grey,47.64288949780166
poisonous,9.58,5.48,brown,37.30465701781213
edible,14.76,10.11,grey,63.55473453179002
poisonous,4.98,6.19,brown,31.028308477252722
poisonous,10.55,7.11,brown,30.04043720662594
poisonous,4.36,6.88,brown,46.64878640323877
poisonous,4.13,0,grey,64.61573413573205
poisonous,3.27,10.07,grey,47.9200541973114
edible,10.86,8.96,brown,31.727482676506042
poisonous,8.84,9.96,grey,41.413160469383
edible,10.41,2.22,grey,60.47648615203798
poisonous,4.22,0,brown,35.351134445518255
poisonous,12.16,8.25,grey,66.42790499143302
edible,7.71,6.3,brown,49.95798117481172
edible,4.6,4.71,brown,65.09221663698554
poisonous,3.08,2.44,brown,46.201568730175495
edible,6.85,7,grey,68.79529776982963
poisonous,4.42,3.11,brown,58.472655871883035
poisonous,5.76,3.56,red,37.3652112018317
edible,4.17,5.61,brown,57.0849886815995
edible,3.25,7.16,grey,42.14660855010152
poisonous,6.48,5.28,grey,37.70322567783296
edible,3.13,5.04,brown,57.242277739569545
poisonous,2.46,3.39,brown,40.555809289216995
poisonous,5.87,5.46,grey,34.34809655882418
edible,8.71,6.12,brown,62.054112581536174
poisonous,2.1,4.62,grey,45.147356959059834
edible,7.32,6.03,grey,64.22418925911188
poisonous,0.62,3.97,brown,49.099423699080944
edible,1.44,5.01,brown,54.46736568585038
edible,16.33,25.2,grey,54.71844146028161
edible,14.76,9.77,brown,42.51963851042092
poisonous,4.97,8.41,brown,36.016800506040454
poisonous,4.78,5.73,red,40.13761002570391
edible,9.01,5.89,grey,47.47899015434086
poisonous,5.4,4.73,grey,38.18119949661195
edible,6.24,5.38,grey,48.99188197217882
poisonous,5.5,6.56,grey,64.66325066052377
poisonous,15.71,5.57,grey,43.270081067457795
edible,7.73,6.5,grey,34.43012969568372
poisonous,3.81,5.69,brown,43.80969965830445
poisonous,9.3,9.16,grey,64.243233660236
edible,16.4,6.79,brown,65.36726542748511
edible,7.06,5.37,brown,45.46011640690267
edible,9.5,7.93,grey,36.37638444080949
poisonous,4.66,6.14,brown,66.46519353613257
poisonous,4.26,6.75,grey,48.441033037379384
poisonous,2.84,3.58,grey,53.62940018065274
poisonous,7.27,6.01,brown,68.43313156627119
edible,7.23,7.53,grey,60.52230260334909
poisonous,7.77,13.9,brown,36.85944955796003
edible,4.72,6.56,grey,40.28606625273824
poisonous,1.38,3.76,brown,49.08230512402952
poisonous,9.13,16.59,brown,49.08954673446715
edible,8.26,5.72,grey,59.31416051462293
edible,8.93,7.26,red,44.93675581179559
edible,2.61,4.45,brown,50.5121658090502
edible,13.11,9.69,brown,30.275034001097083
poisonous,2.84,3.41,grey,52.7510046120733
poisonous,12.21,3.36,grey,54.48605106212199
poisonous,12.69,10.96,brown,40.46950033865869
edible,10.53,7.21,brown,31.06732064858079
poisonous,2.37,6.05,brown,40.76067418791354
edible,6.19,4.14,brown,36.13800823688507
poisonous,6.71,5.94,red,66.99416662566364
poisonous,9.73,9.28,brown,40.45965797267854
poisonous,1.53,4.09,brown,34.37923994846642
edible,13.87,19.78,brown,65.58153657242656
poisonous,3.51,9.72,red,65.66259378567338
poisonous,2.35,0,brown,50.62950383871794
edible,7.63,4,grey,66.75768477842212
poisonous,3.1,3.77,red,33.14725046977401
edible,6.74,6.67,brown,60.49709749408066
poisonous,13.23,8.52,red,57.31334200128913
poisonous,8.07,2.98,red,51.706237541511655
poisonous,5.05,9.78,brown,33.00362848676741
edible,5.02,4.64,brown,59.967821054160595
edible,3.03,7.24,brown,41.354273557662964
edible,5.71,5.35,red,64.44916964508593
poisonous,11.57,8.8,brown,52.11534960195422
poisonous,2.17,8.5,grey,53.92036469653249
poisonous,4.66,0,brown,46.82831079699099
poisonous,8.42,14.5,grey,69.66981677338481
edible,5.3,6.97,brown,32.05717360600829
poisonous,4.86,7.34,brown,54.200462931767106
poisonous,3.56,10.69,grey,38.40070083737373
edible,3.42,6.74,brown,58.92025480046868
edible,7.85,7.16,grey,40.35679082386196
poisonous,1.63,5.45,grey,68.72707751579583
poisonous,4.75,0,brown,48.27523677609861
edible,10.54,22.33,brown,31.739594312384725
edible,46.68,5.87,brown,62.23735712468624
edible,54.35,8.15,brown,39.25653733313084
edible,6.64,3.7,brown,69.48155773803592
poisonous,7.82,4.69,brown,46.027735844254494
poisonous,8.95,10.59,brown,51.83265771716833
poisonous,5.28,5.89,brown,38.61597653478384
edible,10.58,5.21,grey,66.27645179629326
poisonous,7.24,9.36,grey,63.84615863673389
poisonous,3.94,8.21,red,39.84543761238456
poisonous,6.85,5.17,brown,68.6810456123203
poisonous,8.18,17.07,brown,61.153119495138526
edible,3.7,4.7,red,49.96516485698521
edible,5.39,3.95,grey,30.181301534175873
poisonous,2.91,8.89,grey,54.959330363199115
poisonous,5.72,6.5,brown,37.92742943391204
poisonous,6.2,6.22,brown,54.734109872952104
poisonous,3.99,2.68,brown,61.543415961787105
edible,16.74,9.19,brown,35.333944112062454
poisonous,6.88,10.76,brown,46.04412276297808
edible,1.33,4.98,brown,65.77798562124372
edible,4.18,6.04,brown,48.21650163270533
edible,6.59,5.99,brown,32.093805838376284
edible,4.46,3.43,red,47.877217354252934
poisonous,3.45,3.34,brown,52.25400592200458
poisonous,5.65,4.38,grey,46.8422297667712
poisonous,4.5,4.75,red,45.33356443978846
edible,1.24,3.48,grey,39.26738322712481
poisonous,11.45,7.72,brown,47.64496799558401
poisonous,2.43,5.48,brown,54.23654658719897
edible,9.45,6.61,grey,52.55583858117461
poisonous,1.51,4.39,red,48.99124785326421
edible,9.02,9.24,grey,52.44880179874599
edible,20.52,29.22,brown,33.7195551302284
edible,11.5,5.71,brown,50.00217190012336
poisonous,3.13,0,brown,39.422242268919945
edible,4.53,5.52,brown,60.930804535746574
edible,8.41,6.24,grey,52.431531473994255
edible,1.6,5.21,brown,57.14045778848231
poisonous,21.72,4.79,grey,44.86271035857499
poisonous,7.69,3.34,grey,36.57456601969898
edible,8.85,12.07,brown,50.28925406746566
poisonous,7.08,5.98,brown,60.77204818837345
poisonous,4.83,4.61,brown,46.808581659570336
edible,8.31,3.53,grey,45.457589803263545
poisonous,7.07,8.82,brown,36.23013211414218
poisonous,3.15,5.61,brown,64.80263195000589
edible,6.57,9.37,grey,55.797281581908464
poisonous,6.97,7.4,grey,65.29961441643536
edible,5.16,7.09,brown,42.18712550587952
edible,9.45,8.77,grey,32.720441576093435
edible,5.26,8.29,grey,48.71236292645335
edible,8.86,3.45,grey,40.02276358194649
poisonous,3.78,3.97,grey,55.92837097123265
poisonous,1.4,4.26,brown,37.849065493792295
edible,6.79,8,brown,44.17253487743437
edible,6.93,6.23,red,36.014516120776534
edible,20.17,21.86,grey,63.24026372283697
edible,6.77,11.17,grey,48.21158706210554
poisonous,17.26,4.91,grey,47.814023131504655
poisonous,0.7,4.56,grey,69.90478083491325
edible,17.67,29.17,brown,64.93798638693988
poisonous,0.54,4.43,brown,63.286291901022196
poisonous,9.66,9.59,brown,60.50016229972243
edible,7.77,5.97,grey,50.95137040130794
poisonous,1.34,4.12,red,55.840472504496574
poisonous,9.58,7.14,brown,60.40916342288256
poisonous,1.47,4.05,brown,32.91040766984224
edible,0.88,3.14,brown,62.51723447814584
poisonous,9.25,5.55,grey,37.75405942462385
poisonous,1.56,1.56,brown,62.33002486638725
edible,12.8,8.68,grey,34.23596226610243
poisonous,4.78,5.33,brown,50.39014834910631
edible,19.47,17.38,red,51.739690313115716
poisonous,2.6,3.25,red,53.18864654749632
poisonous,4.13,3.29,grey,63.313670651987195
edible,7.15,4.75,grey,30.553326131775975
poisonous,6.11,8.53,grey,60.68081524223089
poisonous,5.66,4.31,grey,39.036239543929696
edible,3.84,5.21,grey,60.476514054462314
edible,10.15,4.38,brown,32.60842979885638
poisonous,15.92,6.78,red,51.816051602363586
poisonous,9.67,8.38,grey,50.12491626664996
poisonous,18.61,6.95,red,44.3711447250098
poisonous,1.56,5.03,grey,60.006587859243155
poisonous,2.7,6.55,grey,33.73243944719434
edible,1.09,3.09,grey,51.66432683356106
edible,7.24,6.47,brown,55.41660351678729
poisonous,6.88,6.95,red,59.37586520798504
edible,1.02,4.9,grey,56.374502684921026
poisonous,17.21,9.34,red,57.52790371887386
edible,9.16,4.13,brown,30.536553282290697
edible,7.84,8.49,brown,39.73761438392103
poisonous,7.08,17.16,brown,39.31957456283271
poisonous,4.59,6.22,brown,47.79307670891285
poisonous,5.76,5.09,brown,43.068943321704865
edible,4.04,6.08,grey,37.0826418325305
edible,8.5,9.04,red,64.69806341454387
edible,11.24,8.4,grey,39.32001216337085
poisonous,8.65,9.11,brown,33.65414805710316
poisonous,4.45,6.83,red,61.18940771557391
poisonous,9.7,8.08,brown,56.17836583405733
poisonous,17.58,7.54,red,64.83731102198362
poisonous,1.56,5.24,brown,66.31055162288249
poisonous,6.52,7.48,grey,64.98464617878199
edible,0.99,3.42,brown,63.44057956710458
poisonous,3.58,4.44,brown,45.10463207028806
edible,6.73,3.68,brown,59.30173693224788
edible,55.73,7.59,grey,36.95967359468341
poisonous,6.14,7.31,brown,42.36934818327427
edible,6.89,5.53,grey,58.38555750437081
edible,7.37,6.52,brown,61.26215381547809
edible,3.09,4.25,grey,38.56099213473499
poisonous,3.95,4.48,brown,65.11405697092414
edible,2.63,7.04,brown,54.904384166002274
poisonous,2.08,6,brown,30.2069828286767
poisonous,13.33,10.9,brown,61.09367253258824
poisonous,3.74,8.03,brown,62.40128877572715
poisonous,17.31,6.6,grey,41.85271078720689
poisonous,1.09,3.18,brown,55.75501256622374
edible,4.9,5.23,red,45.65331750549376
edible,5.71,6.29,brown,37.939217453822494
edible,4.24,4.84,grey,69.83381813392043
edible,4.87,3.42,brown,49.03459381312132
edible,4.85,7.15,red,49.62335963733494
poisonous,6.29,6.98,grey,34.00443518534303
poisonous,7.24,7.94,brown,52.86154078319669
edible,3.41,8.04,grey,32.604774395003915
poisonous,6.4,8.2,brown,37.323345728218555
edible,5.74,5.58,brown,33.20099702104926
poisonous,6.27,14.71,red,60.687689539045095
edible,8.54,6.42,brown,33.45412000082433
edible,9.9,5.25,brown,51.32907768711448
edible,7.04,6.33,red,33.7516859639436
poisonous,8.72,3.71,brown,63.58696763403714
poisonous,3.66,4.54,grey,50.54625364020467
edible,9.7,6.99,brown,56.228174129500985
edible,4.12,5.95,grey,39.62651892565191
edible,5.55,11.18,grey,51.67609041556716
edible,12.76,24.7,grey,57.218164606019855
poisonous,2.19,7.74,grey,57.60788446292281
edible,6.37,5,brown,65.00077613629401
poisonous,7.92,11.06,brown,54.00620698928833
edible,8.71,4.4,brown,50.69925755262375
poisonous,13.12,13.72,grey,41.00508972071111
poisonous,3.22,3.27,red,58.3234775159508
poisonous,4.23,8.5,red,52.6132201962173
poisonous,7.42,5.23,brown,56.6970881447196
edible,1.18,3.47,grey,57.318502170965075
edible,7.86,5.38,grey,35.299809174612164
poisonous,9.2,8.71,grey,42.098255436867476
edible,12.2,11.74,grey,61.49684729985893
poisonous,2.96,4.44,grey,54.4348016846925
poisonous,2.57,8.31,grey,67.68395867198706
poisonous,5.26,6.83,red,62.79718612320721
poisonous,6.3,10.69,grey,37.79794713482261
poisonous,4.62,9.71,grey,54.50083861127496
edible,3.98,4.01,red,51.24374141916633
poisonous,4.96,5.19,brown,66.31637863814831
poisonous,5.92,6.92,red,46.42210626043379
edible,4.32,5.52,grey,66.10561572015285
poisonous,4.01,6.74,brown,65.75311731547117
poisonous,7.99,7.9,red,61.844810992479324
poisonous,2.34,6.08,red,48.62827348522842
edible,1.83,4.92,brown,32.851506965234876
poisonous,5.73,7.73,brown,35.58526755310595
poisonous,17.69,7.25,brown,40.973539520055056
poisonous,19.4,8.06,grey,34.05447189696133
edible,6.46,5.91,brown,54.119414081797004
poisonous,8.79,8.34,brown,52.680259151384234
edible,4.65,3.28,red,49.710553139448166
edible,5.53,5.86,red,38.92683448269963
edible,11.28,5.79,brown,35.69855094887316
edible,6.71,6.12,brown,30.943539645522833
poisonous,4.28,6.1,brown,63.012483259662986
edible,8.8,6.19,grey,32.8685424849391
poisonous,1.17,3.38,grey,60.507186967879534
poisonous,0.96,3.32,grey,53.96534604951739
poisonous,1.6,4.93,brown,47.4420181568712
edible,3.49,6.03,brown,65.95956366509199
poisonous,2.87,2.78,brown,62.558430721983314
edible,11.77,7.37,brown,44.877713629975915
poisonous,7.51,10.63,grey,39.90328603424132
poisonous,5.16,6.23,brown,36.425612550228834
edible,7.13,6.07,grey,57.625790340825915
poisonous,3.2,5.28,grey,51.092276545241475
edible,5.05,6.2,brown,67.26612687110901
poisonous,3.29,4.79,red,33.13277413137257
edible,1.66,6.25,grey,65.19103480502963
poisonous,21.64,5.49,red,35.70953505113721
poisonous,2.87,5.2,brown,63.39274098165333
poisonous,2.53,0,grey,65.30254231765866
poisonous,4.59,3.81,brown,48.25464732013643
edible,2.12,5.7,brown,54.50014437548816
poisonous,8.37,11.07,red,69.56019574776292
poisonous,7.46,5.43,red,47.15862572193146
edible,7.89,6.94,brown,32.360258381813765
edible,17.04,9.72,grey,54.479672918096185
edible,19.36,31.36,grey,58.02206459455192
poisonous,4.9,4.76,brown,40.508370669558644
poisonous,6.83,8.13,red,66.6614820342511
poisonous,3.92,8.18,grey,31.698689125478268
poisonous,3.98,5.97,red,35.91219384223223
edible,5.19,4.32,grey,55.79417456872761
edible,6.8,6.93,grey,45.81486500799656
edible,4.07,5.34,grey,48.60370705835521
poisonous,4.66,4.39,brown,37.68771294504404
poisonous,4.12,5.15,red,31.9084688462317
edible,1.55,4.9,brown,69.64546418748796
poisonous,8.43,11.27,brown,67.03906347975135
edible,11.97,12.11,grey,38.765064338222146
edible,9.54,6.17,red,43.68057387880981
poisonous,7.71,7.67,brown,30.636190520599484
poisonous,7.66,5.05,brown,38.02698411978781
poisonous,8.53,10.47,grey,51.11464551649988
poisonous,9.34,4.71,red,30.07147040218115
poisonous,3.53,4.38,grey,43.47706977277994
poisonous,4.38,5.2,grey,57.653798609972
edible,20.56,16.24,brown,52.44377767667174
edible,9.63,7.92,brown,36.81496455334127
edible,6.42,6.13,brown,69.30114610120654
poisonous,6.27,5.66,red,61.43541750498116
edible,3.98,6.23,grey,52.05480856820941
poisonous,4.62,5.27,brown,49.30887412279844
poisonous,6.72,4.99,grey,52.11452445946634
poisonous,1.66,5.01,grey,41.366956839337945
poisonous,4.6,0,red,68.5542197804898
poisonous,14.28,17.77,brown,30.719056073576212
poisonous,6.84,4.15,grey,54.262447925284505
edible,15.79,7.91,brown,45.29002499766648
edible,10.55,9.05,red,38.43086921609938
edible,7.93,4.19,red,52.972318986430764
poisonous,4.08,5.36,brown,54.81840536929667
edible,3.55,5.33,grey,51.24608885496855
poisonous,3.74,5.13,grey,57.41323875263333
poisonous,7.96,4.48,grey,49.61898607201874
poisonous,6.72,6.13,grey,50.67368854768574
poisonous,5.62,4.88,red,63.304336462169886
poisonous,7.73,12.2,red,54.4819132052362
poisonous,2.61,2.59,red,48.712948113679886
poisonous,6.66,11.28,grey,62.05442658625543
edible,15.25,6.54,brown,33.125454196706414
edible,7.86,6.9,brown,52.12807890959084
poisonous,2.03,7.03,brown,32.36451939679682
edible,7.16,5.91,brown,69.6983992215246
poisonous,1.54,1.86,grey,31.97871919721365
poisonous,4.56,7.82,grey,36.74850579351187
edible,4.21,6.58,brown,69.1868735384196
edible,8.47,6.68,brown,49.24006569199264
edible,4.05,4.87,brown,51.18908780626953
edible,16.99,24.61,brown,67.83311458304524
poisonous,5.38,4.41,grey,33.359121419489384
poisonous,8.35,14.9,brown,64.67985560186207
poisonous,6.8,7,red,69.16865449398756
poisonous,6.2,7.29,brown,48.928192583844066
edible,4.84,4.81,brown,30.625941855832934
edible,6.14,5.15,brown,50.70270820520818
edible,12.7,6.28,red,69.04046334326267
edible,11.18,5.53,brown,32.321629943326116
poisonous,0.6,3.64,grey,66.53014206327498
poisonous,3.75,4.9,grey,48.08011684566736
edible,5.06,5.56,brown,31.577648045495152
edible,4.78,7.59,brown,68.54925783351064
edible,5.68,7.34,grey,43.872057776898146
poisonous,4.11,5.38,brown,68.21042775176466
edible,8.39,7.77,brown,53.27507064677775
poisonous,1.58,5.08,brown,69.83467652462423
poisonous,3.16,3.62,brown,55.10601855814457
poisonous,2.87,3.55,red,50.76617445796728
poisonous,5.84,6.68,grey,36.676347414031625
poisonous,2.29,4.73,brown,68.14261390827596
edible,6.47,5.54,brown,44.56940213218331
poisonous,9.13,8.84,red,52.61516417376697
edible,2.82,6.91,red,37.07076675258577
poisonous,0.7,4.32,grey,53.69754399172962
poisonous,9.39,11.82,brown,48.94457774236798
edible,7.37,5.32,brown,69.53094097785652
edible,6.25,5.51,red,38.88114131987095
edible,6.4,5.22,brown,47.13090815581381
edible,2.86,4.75,brown,34.959550462663174
edible,3.38,4.13,red,37.604995016008615
poisonous,6.6,4.97,grey,65.93265037052333
edible,9.03,8.98,grey,49.89075179211795
edible,4.51,3.25,grey,68.24419024400413
poisonous,9.88,5.87,grey,30.136267766356468
edible,5.48,6.75,red,64.36244244687259
edible,11.52,8.05,red,36.20633589103818
poisonous,8.08,8.06,grey,69.61106437258422
edible,5.01,4.54,brown,66.52743092738092
edible,9.66,8.5,red,60.609005419537425
poisonous,2.82,3.61,brown,48.84301311336458
poisonous,9.91,2,grey,33.63432030193508
edible,8.18,7.3,brown,50.43329765088856
edible,10.91,8.59,grey,55.22190373390913
edible,5.99,11.45,brown,49.83829760923982
edible,9.21,8.56,grey,57.77860786765814
edible,5.62,7.54,grey,40.477743465453386
edible,1.52,4.83,brown,53.7070775218308
edible,5.05,6.95,brown,48.75901290215552
poisonous,5.97,12.22,grey,55.62118901871145
poisonous,6.04,5.85,brown,61.51648464612663
poisonous,9.2,10.86,brown,65.93925080262125
poisonous,2.34,6.99,grey,37.87282555364072
edible,8.01,7.69,brown,66.17007294669747
edible,5.35,7.04,brown,46.988130593672395
edible,6.74,7.55,grey,35.97525605931878
poisonous,7.98,7.95,red,34.134924560785294
edible,9.64,6.69,grey,39.21722543425858
poisonous,7.47,5.34,brown,67.88111353293061
edible,4.36,6.76,brown,57.45345978997648
poisonous,4.8,5.65,red,46.07974142767489
